insee,libelle1,libelle2,voie_num,voie_type,voie_nom,local,voie,CPBIBLIO,CEDEXB,BP,ville,DEPT,REGION,population_legale
59063,Bibliotheque Municipale Bernard Lottin,,8,RUE,MARCELLIN BERTHELOT,,8 RUE MARCELLIN BERTHELOT,59157,,,Beauvois-en-Cambrésis,59,31,2188
59064,Mediatheque LABYRINTHE,Médiathèque d'intérêt communautaire appartenant au réseau de,,RUE,JEAN JAURES,,RUE JEAN JAURES,59135,,,Bellaing,59,31,1203
59067,Bibliotheque Municipale,MARGUERITE BREBANT,39,RUE,CARNOT,,39 RUE CARNOT,59380,,,Bergues,59,31,3997
59068,Bibliotheque De Berlaimont,,15,PLACE,DU GENERAL DE GAULLE,MAIRIE,15 PLACE DU GENERAL DE GAULLE,59145,,,Berlaimont,59,31,3202
59071,Mediatheque Municipale,,12,place,du Maréchal Alexander,Place Mal Alexander,12 place du Maréchal Alexander,59235,,,Bersée,59,31,2285
59073,Bibliotheque Municipale,,138,GRAND RUE,,,GRAND RUE,59270,,,Berthen,59,31,522
59074,Mediatheque De Bertry,,nc,rue,du temple,,nc rue du temple,59980,,,Bertry,59,31,2255
59075,Bibliothèque,,7,rue,Léon Gambetta,,7 rue Léon Gambetta,59540,,,Béthencourt,59,31,767
59078,Bibliothèque Municipale,,34,route nationale,,,34 route nationale,59216,,,Beugnies,59,31,632
59081,Médiathèque Municipale,,,rue,du Préau,,rue du Préau,59217,,,Bévillers,59,31,554
59082,Bibliothèque Municipale,,6,rue,de l'église,,6 rue de l'église,59380,,,Bierne,59,31,1711
59084,Mediatheque De Blaringhem,,7,ROUTE,D'HAZEBROUCK,,7 ROUTE D'HAZEBROUCK,59173,,,Blaringhem,59,31,2026
59086,Bibliotheque Municipale De Boeschepe,,163,rue,de la Mairie,,163 rue de la Mairie,59299,,,Boeschepe,59,31,2238
59088,Le Grenier Aux Livres,,,Place,des Trois Maires,Foyer Rural,rue de Fleurbaix,59280,,,Bois-Grenier,59,31,1547
59089,Médiathèque,,,,GRAND PLACE,,GRAND PLACE,59470,,,Bollezeele,59,31,1441
