Mairie gestionnaire;Type d'équipement;Désignation_longue;AP_num;AP_cnu;AP_cp;Ap_voie
MAIRIE DU 19E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE B 84 RUE CURIAL;84;;75019;RUE CURIAL
MAIRIE DU 19E;Ecole polyvalente;ECOLE POLYVALENTE 10 RUE HENRI NOGUERES;10;;75019;RUE HENRI NOGUERES
MAIRIE DU 19E;Ecole polyvalente;ECOLE POLYVALENTE 53 RUE EMILE BOLLAERT;53;;75019;RUE EMILE BOLLAERT
MAIRIE DU 19E;Promenade ouverte, mail planté, jardin, square;SQUARE RUE PETIT;23;;75019;RUE PETIT
MAIRIE DU 19E;Promenade ouverte, mail planté, jardin, square;JARDINS DE LA PORTE D'AUBERVILLIERS ESPLANADE CHARLES TILLON;2;V;75019;RUE JEAN OBERLE
MAIRIE DU 19E;Promenade ouverte, mail planté, jardin, square;SQUARE DE LA BUTTE DU CHAPEAU ROUGE;11;;75019;BOULEVARD D' ALGERIE
MAIRIE DU 19E;Promenade ouverte, mail planté, jardin, square;SQUARE DE LA MARSEILLAISE;21;;75019;AVENUE DE LA PORTE CHAUMONT
MAIRIE DU 19E;Promenade ouverte, mail planté, jardin, square;SQUARE DE LA PLACE DE BITCHE;1;V;75019;PLACE DE BITCHE
MAIRIE DU 19E;Promenade ouverte, mail planté, jardin, square;PROMENADE AMALIA RODRIGUES;9;;75019;RUE DES MARCHAIS
MAIRIE DU 19E;Promenade ouverte, mail planté, jardin, square;SQUARE DU QUAI DE LA LOIRE;31;;75019;QUAI DE LA LOIRE
MAIRIE DU 19E;Talus d'espace ferroviaire;TALUS (SNCF) RUE ANDRE DANJON;10;;75019;RUE ANDRE DANJON
MAIRIE DU 19E;Crèche collective;CRÈCHE COLLECTIVE 1 BIS, PASSAGE DE VERDUN;1;B;75019;PASSAGE DE VERDUN
MAIRIE DU 19E;Crèche collective;CRÈCHE COLLECTIVE 15-19, COURS DU 7E ART;15;;75019;COURS DU SEPTIEME ART
